Rank,Company,EmployeeCount,Revenue,Profits,Assets,MarketValue,Sector,Industry,Hqcity,Hqstate
179,NGL Energy Partners,2400,17282.7,-70.9,6151.1,1740.2,Energy,Energy,Tulsa,OK
180,XPO Logistics,100000,17279,422,12270,5868.1,Transportation,Transportation and Logistics,Greenwich,CT
181,EOG Resources,2800,17275.4,3419,33934.5,55209.9,Energy,"Mining, Crude-Oil Production",Houston,TX
182,Applied Materials,21000,17253,3313,17773,37652.9,Technology,Semiconductors and Other Electronic Components,Santa Clara,CA
183,PG&E Corp.,24000,16759,-6851,76995,9390.6,Energy,Utilities: Gas and Electric,San Francisco,CA
184,NextEra Energy,14300,16727,6638,103702,92439.3,Energy,Utilities: Gas and Electric,Juno Beach,FL
185,C.H. Robinson Worldwide,15262,16631.2,664.5,4427.4,11948.8,Transportation,Transportation and Logistics,Eden Prairie,MN
186,Gap,135000,16580,1003,8049,9911.7,Retailing,Specialty Retailers: Apparel,San Francisco,CA
187,Lincoln National,11034,16424,1641,298147,11992,Financials,"Insurance: Life, Health (Stock)",Radnor,PA
188,DaVita,77700,16368.6,159.4,19110.3,9033.9,Health Care,Health Care: Medical Facilities,Denver,CO
189,Jones Lang LaSalle,90000,16318.4,484.5,10025.5,7033.9,Financials,Real Estate,Chicago,IL
190,WestRock,45100,16285.1,1906.1,25360.5,9793.5,Materials,"Packaging, Containers",Richmond,VA
191,CDW,9019,16240.5,643,7167.7,14172.1,Technology,Information Technology Services,Lincolnshire,IL
192,American Electric Power,17582,16195.7,1923.8,68802.8,41312.8,Energy,Utilities: Gas and Electric,Columbus,OH
193,Cognizant Technology Solutions,281600,16125,2101,15913,41665.9,Technology,Information Technology Services,Teaneck,NJ
194,D.R. Horton,8437,16068,1460.3,14114.6,15452.2,Engineering & Construction,Homebuilders,Fort Worth,TX
195,Becton Dickinson,76032,15983,311,53904,67193.2,Health Care,Medical Products and Equipment,Franklin Lakes,NJ
196,Nordstrom,74000,15860,564,7886,6879,Retailing,General Merchandisers,Seattle,WA
197,Netflix,7100,15794.3,1211.2,25974.4,155673.6,Technology,Internet Services and Retailing,Los Gatos,CA
198,Aramark,227200,15789.6,567.9,13720.1,7278.1,Business Services,Diversified Outsourcing Services,Philadelphia,PA
199,Texas Instruments,29888,15784,5580,17137,99559.2,Technology,Semiconductors and Other Electronic Components,Dallas,TX
200,General Mills,40000,15740.4,2131,30624,30987.4,"Food, Beverages & Tobacco",Food Consumer Products,Minneapolis,MN
201,Supervalu,23000,15679,45,4387,,Food & Drug Stores,Food and Drug Stores,Eden Prairie,MN
202,Colgate-Palmolive,34500,15544,2400,12161,58931.4,Household Products,Household and Personal Products,New York,NY
203,Goodyear Tire & Rubber,64000,15475,693,16872,4215.6,Motor Vehicles & Parts,Motor Vehicles and Parts,Akron,OH
204,PayPal Holdings,21800,15451,2057,43332,121826.1,Business Services,Financial Data Services,San Jose,CA
205,PPG Industries,47300,15374,1341,16015,26648.8,Chemicals,Chemicals,Pittsburgh,PA
206,Omnicom Group,70400,15290.2,1326.4,24617,16327.2,Business Services,"Advertising, Marketing",New York,NY
207,Celgene,8852,15281,4046,35480,66242.2,Health Care,Pharmaceuticals,Summit,NJ
208,Jacobs Engineering Group,77600,14984.6,163.4,12645.8,10490.3,Engineering & Construction,"Engineering, Construction",Dallas,TX
209,Ross Stores,88100,14983.5,1587.5,6073.7,34501.8,Retailing,Specialty Retailers: Apparel,Dublin,CA
210,Marsh & McLennan,66000,14950,1650,21578,47660.1,Financials,Diversified Financials,New York,NY
210,Mastercard,14800,14950,5859,24860,241550.3,Business Services,Financial Data Services,Purchase,NY
212,Land O'Lakes,10000,14936.2,254.5,9124.4,,"Food, Beverages & Tobacco",Food Consumer Products,Arden Hills,MN
213,Waste Management,43700,14914,1925,22650,44128.7,Business Services,Waste Management,Houston,TX
214,Illinois Tool Works,48000,14768,2563,14870,46922.6,Industrials,Industrial Machinery,Glenview,IL
215,Ecolab,49000,14668.2,1429.1,20074.5,50908.2,Chemicals,Chemicals,St. Paul,MN
216,Booking Holdings,24500,14527,3998,22687,78543.2,Engineering & Construction,Transportation and Logistics,Norfolk,CT
217,CBS,14750,14514,1960,21859,17727.3,Media,Entertainment,New York,NY
218,Parker-Hannifin,57170,14302.4,1060.8,15320.1,22201.7,Industrials,Industrial Machinery,Cleveland,OH
219,Principal Financial,16475,14237.2,1546.5,243036.1,13968.6,Financials,"Insurance: Life, Health (Stock)",Des Moines,IA
220,DTE Energy,10600,14212,1120,36288,22854.2,Energy,Utilities: Gas and Electric,Detroit,MI
221,BlackRock,14900,14198,4305,159573,67538.1,Financials,Securities,New York,NY
222,United States Steel,29000,14178,1115,10982,3378.5,Materials,Metals,Pittsburgh,PA
